drug_name	drug_type	CID/CIDs	Source	therapy_type	action	action_class	approval_status	drugbank_id	synonyms
procarbazine hydrochloride	small molecule	9703		Chemotherapy		alkylating related	approved	DB01168	Procarbazin|Procarbazina|Procarbazine|Procarbazinum|RO-4-6467
raltitrexed	small molecule	135400182		Chemotherapy		alkylating related	approved	DB00293	tomudex
thioguanine	small molecule	2723601		Chemotherapy		alkylating related	approved	DB00352	
thiotepa	small molecule	5453		Chemotherapy		alkylating related	approved	DB04572	
tipiracil	small molecule	6323266		Chemotherapy		alkylating related	approved	DB09343	tipiracil hydrochloride|lonsurf
trifluridine	small molecule	6256		Chemotherapy		alkylating related	approved	DB00432	lonsurf|viroptic
valrubicin	small molecule	454216		Chemotherapy		alkylating related	approved	DB00385	
abvd	combination			Chemotherapy		alkylating related			doxorubicin+bleomycin+vinblastine+dacarbazine
beacopp	combination			Chemotherapy		alkylating related			bleomycin+etoposide+doxorubicin+cyclophosphamide+vincristine+procarbazine+prednisolone
bep	combination			Chemotherapy		alkylating related			bleomycin+etoposide+platinum
carboplatin and etoposide	combination			Chemotherapy		alkylating related			carboplatin+etoposide
chop	combination			Chemotherapy		alkylating related			cyclophosphamide+doxorubicin+vincristine+prednisolone
cmf	combination			Chemotherapy		alkylating related			cyclophosphamide+methotrexate+fluorouracil
folfiri	combination	136170999	TCGA	Chemotherapy		alkylating related			folinic acid+fluorouracil+irinotecan
folfirinox	combination			Chemotherapy		alkylating related			folinic acid+fluorouracil+irinotecan+oxaliplatin
ice	combination			Chemotherapy		alkylating related			ifosfamide+carboplatin+etoposide
mvac	combination			Chemotherapy		alkylating related			methotrexate+vinblastine+doxorubicin+cisplatin
paclitaxel and carboplatin	combination			Chemotherapy		alkylating related			carbotaxol|pc
pcv	combination			Chemotherapy		alkylating related			procarbazine+lomustine+vincristine
tac	combination			Chemotherapy		alkylating related			docetaxel+doxorubicin+cyclophosphamide
tpf	combination			Chemotherapy		alkylating related			docetaxel+cisplatin+fluorouracil 
vac	combination			Chemotherapy		alkylating related			vincristine+actinomycin d+cyclophosphamide
xelox	combination	71301229		Chemotherapy		alkylating related			oxaliplatin+capecitabine
pegaspargase	biotech			Chemotherapy		alkylating related	approved	DB00059	
2b3-101				Chemotherapy		alkylating related			
copolang				Chemotherapy		alkylating related			
epirubicoin				Chemotherapy		alkylating related			
oligomycin a	small molecule	5281899	CTRPV2	Targeted Therapy	an inhibitor of ATP synthase	ATP related			
bafilomycin a1	small molecule	11497983	CTRPV2	Targeted Therapy	an inhibitor of vacuolar H ATPase (V-ATPase)	ATP related	experimental	DB06733	barasertib
pf-573228	small molecule	11612883	CTRPV2	Targeted Therapy	ATP-competitive FAK inhibitor	ATP related			
nvp-bsk805	small molecule	46398810	CTRPV2	Targeted Therapy	ATP-competitive JAK2 inhibitor	ATP related			
brefeldin a	small molecule	5287620	CTRPV2	Targeted Therapy	ATPase inhibitor	ATP related	experimental	DB07348	Ascotoxin|Cyanein|Decumbin|Nectrolide|Synergisidin|NSC-107456|NSC-244390|NSC-56310|NSC-89671
ku 0060648	small molecule	11964036	CTRPV2	Targeted Therapy	Dual DNA-PK/PI3-K inhibitor, ATP-competitive	ATP related			
lrrk2-in-1	small molecule	46843906	CTRPV2	Targeted Therapy	LRRK2 inhibitor,cell-permeable and ATP competitive	ATP related			
sgx-523	small molecule	24779724	CTRPV2	Targeted Therapy	MET inibitor, highly selective, ATP-competitive	ATP related	investigational	DB06314	6-{[6-(1-methyl-1H-pyrazol-4-yl)[1,2,4]triazolo[4,3-b]pyridazin-3-yl]sulfanyl}quinoline|SGX 523|SGX-523|SGX523
blebbistatin	small molecule	3476986	CTRPV2	Targeted Therapy	non-muscle myosin II ATPases inhibitor, cell-permeable	ATP related	experimental		
dbeq	small molecule	676352	CTRPV2	Targeted Therapy	P97 ATPase inhibitor	ATP related			
ipa-3	small molecule	521106	GDSC	Targeted Therapy	a highly selective and non-ATP-competitive inhibitor that targets the autoregulatory mechanism of group I Paks	ATP related			
ro-3306	small molecule	135400873	GDSC	Targeted Therapy	An ATP-competitive, potent CDK1 inhibitor	ATP related			
thapsigargin	small molecule	446378	GDSC	Targeted Therapy	an inhibitor of the sarcoplasmic/endoplasmic reticulum Ca2+ ATPase pump	ATP related			
afuresertib	small molecule	46843057	GDSC	Targeted Therapy	ATP-competitive and potent pan-Akt kinase inhibitor 	ATP related	investigational	DB11648	
pf-562271	small molecule	11713159	GDSC	Targeted Therapy	ATP-competitive FAK inhibitor	ATP related			
jnj38877605	small molecule	46911863	GDSC	Targeted Therapy	C-Met inhibitor,ATP-competitive	ATP related			
pha-665752	small molecule	10461815	GDSC	Targeted Therapy	C-Met inhibitor,potent and ATP-competitive	ATP related			
gw-2580	small molecule	11617559	GDSC	Targeted Therapy	CFMS kinase/CSF-1R inhibitor,selective and ATP-competitive	ATP related			
sb216763	small molecule	176158	GDSC	Targeted Therapy	GSK-3 inhibitor,ATP-competitive,potent and selective	ATP related			
wye-125132	small molecule	25260757	GDSC	Targeted Therapy	highly potent, ATP-competitive, and specific inhibitor of mTOR kinase	ATP related			
cct-018159	small molecule	984170	GDSC	Targeted Therapy	inhibitor of the ATPase activity of Hsp90	ATP related	experimental	DB07594	CCT 018159|CCT-018159|CCT018159
at13148	small molecule	24905401	GDSC	Targeted Therapy	Multi-AGC kinase inhibitor,ATP-competitive	ATP related			
vx-702	small molecule	10341154	GDSC	Targeted Therapy	P38α MAPK inhibitor,highly selective and ATP-competitive	ATP related			
gsk690693	small molecule	16725726	GDSC	Targeted Therapy	Pan-AKT inhibitor,ATP-competitive and potent	ATP related			
bx-912	small molecule	11754511	GDSC	Targeted Therapy	PDK1 inhibitor,potent and ATP-competitive	ATP related			
snx-2112	small molecule	24772860	GDSC|CTRPV2	Targeted Therapy	Hsp90 inhibitor,ATP-competitve,potent and selective	ATP related	investigational	DB17055	Benzamide|2-((trans-4-hydroxycyclohexyl)amino)-4-(4,5,6,7-tetrahydro-6,6-dimethyl-4-oxo-3-(trifluoromethyl)-1h-indazol-1-yl)-|PF-04928473|SNX-2112
azd-1480	small molecule	16659841	GDSC|CTRPV2	Targeted Therapy	JAK2 inhibitor,ATP-competitive and novel	ATP related	investigational	DB12588	azd1480
azd7762	small molecule	11152667	GDSC|CTRPV2	Targeted Therapy	kinase inhibitor,ATP competitive	ATP related	investigational	DB12242	AZD-7762|AZD7762
tgx-221	small molecule	9907093	GDSC|CTRPV2	Targeted Therapy	PI3Kβ inhibitor,potent,selective and ATP competitive	ATP related			tgx221
bi-2536	small molecule	11364421	GDSC|CTRPV2	Targeted Therapy	Plk1 inhibitor,potent and ATP-competitive	ATP related	investigational	DB16107	BI 2536|BI-2536
brivanib	small molecule	11234052	GDSC|CTRPV2	Targeted Therapy	protein inhibitor,VEGFR-2 inhibitor,ATP-competitive	ATP related	investigational	DB11958	Brivanib|BMS-540215
copanlisib hydrochloride	small molecule	135565785		Targeted Therapy	protein inhibitor,potent, selective and ATP-competitive pan-class I PI3K inhibitor, with IC50s of 0.5 nM, 0.7 nM, 3.7 nM and 6.4 nM for PI3Kα, PI3Kδ, PI3Kβ and PI3Kγ, respectively. Copanlisib dihydrochloride has more than 2,000-fold selectivity against other lipid and protein kinases, except for mTOR. Copanlisib dihydrochloride has superior antitumor activity.	ATP related	approved		
larotrectinib	small molecule	46188928		Targeted Therapy	tyrosine kinase inhibitor,An ATP-competitive oral, selective inhibitor	ATP related	approved	DB14723	vitrakvi
am-580	small molecule	2126	CTRPV2	Targeted Therapy	selective RARα agonist	cellular differentiation			
wz8040	small molecule	44607531	CTRPV2	Targeted Therapy	EGFR T790M inhibitor,irreversible amd potent	EGFR inhibitor			
wz4002	small molecule	44607530	CTRPV2	Targeted Therapy	Mutant-selective EGFR inhibitor(L858R,T790M), irreversible and potent	EGFR inhibitor			
azd3759	small molecule	78209992	GDSC	Targeted Therapy	EGFR inhibitor, oral active	EGFR inhibitor	investigational	DB14795	
ast-1306	small molecule	24739943	GDSC	Targeted Therapy	EGFR/HER2 inhibitor	EGFR inhibitor			
apicidin	small molecule	6918328	CTRPV2	Targeted Therapy	A potent HDAC inhibitor	HDAC related			
tacedinaline	small molecule	2746	CTRPV2	Targeted Therapy	HDAC inhibitor	HDAC related	investigational	DB12291	tacedinalina
trichostatin a	small molecule	444732	GDSC	Targeted Therapy	A potent histone deacetylase (HDAC) inhibitor and an antifungal antibioti	HDAC related	experimental	DB04297	TSA
ar-42	small molecule	6918848	GDSC	Targeted Therapy	HDAC inhibitor,novel and potent	HDAC related			
dacinostat	small molecule	6445533	GDSC	Targeted Therapy	HDAC inhibitor,potent and novel	HDAC related			
romidepsin	small molecule	5352062	GDSC	Chemotherapy	HDAC1/HDAC2 inhibitor,potent and selective	HDAC related	approved	DB06176	Romidepsin|Romidepsina|Romidepsine|Romidepsinum|FK 228|FK-228|FK228|FR 901228|FR-901228|FR901228|NSC 630176|NSC-630176|NSC630176|
cudc-101	small molecule	24756910	GDSC	Targeted Therapy	Multitargeted HDAC inhibitor	HDAC related			
cay10603	small molecule	24951314	GDSC	Targeted Therapy	potent and selective inhibitor of HDAC6	HDAC related			
Ricolinostat	small molecule	53340666	GDSC	Targeted Therapy	Selective HDAC6 inhibitor	HDAC related	investigational	DB12376	ACY-1215|ACY-63
panobinostat	small molecule	6918837	GDSC|CTRPV2	Targeted Therapy	HDAC inhibitor	HDAC related		DB06603	lbh-589
entinostat	small molecule	4261	GDSC|CTRPV2	Targeted Therapy	HDAC1 and HDAC3 inhibitor	HDAC related	investigational	DB11841	Entinostat|Entinostatum|BAY 86-5274|BAY86-5274|MS 27-275|MS 275|MS-27-275|MS-275|MS-275-27|SNDX 275|SNDX-275|
tubastatin a	small molecule	49850262	GDSC|CTRPV2	Targeted Therapy	HDAC6 inhibitor,potent and selective	HDAC related			
pci-34051	small molecule	24753719	GDSC|CTRPV2	Targeted Therapy	HDAC8 inhibitor,potent and selective	HDAC related			brd-k88742110
belinostat	small molecule	6918638	GDSC|CTRPV2	Targeted Therapy	Hydroxamate-type HDAC inhibitor	HDAC related	approved	DB05015	Belinostat|PX-105684|PXD-101|PXD101
vorinostat	small molecule	5311	TCGA|GDSC|CTRPV2	Chemotherapy	A HDAC inhibitor	HDAC related	approved	DB02546	saha
silmitasertib	small molecule	24748573	CTRPV2	Targeted Therapy	a potent and selective casein kinase 2 (CK2) inhibitor	kinase inhibitor	investigational	DB15408	Silmitasertib|CX 4945
az-3146	small molecule	56973724	CTRPV2	Targeted Therapy	AZ3146 is a potent and selective Monopolar Spindle 1 (Mps1) kinase inhibitor	kinase inhibitor			
pf-4800567 hydrochloride	small molecule	71751553	CTRPV2	Targeted Therapy	casein kinase 1ε inhibitor	kinase inhibitor			
pluripotin	small molecule	12003241	CTRPV2	Targeted Therapy	dual inhibitor of extracellular signal-regulated kinase 1 (ERK1, MAPK3) and RasGAP	kinase inhibitor			
pd 153035	small molecule	4705	CTRPV2	Targeted Therapy	EGFR kinase inhibitor	kinase inhibitor			
compound 1b	small molecule	139129603	CTRPV2	Targeted Therapy	HER family tyrosine kinase inhibitor	kinase inhibitor			
narciclasine	small molecule	72376	CTRPV2	Targeted Therapy	Modulates the Rho/ROCK/LIM kinase/cofilin pathway	kinase inhibitor			
kw-2449	small molecule	11427553	CTRPV2	Targeted Therapy	Multikinase inhibitor	kinase inhibitor			
raf-265	small molecule	11656518	CTRPV2	Targeted Therapy	Multiple intracellular kinases inhibitor	kinase inhibitor	investigational	DB05984	raf265
necrostatin-1	small molecule	2828334	CTRPV2	Targeted Therapy	Necrostatin-1 is a RIP1 kinase inhibito	kinase inhibitor			
mln2480	small molecule	25161177	CTRPV2	Targeted Therapy	Pan-Raf kinase inhibitor	kinase inhibitor	investigational		
ski-ii	small molecule	753704	CTRPV2	Targeted Therapy	Sphingosine kinase(SK) inhibitor	kinase inhibitor			
Bemcentinib	small molecule	46215462	CTRPV2	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	investigational	DB12411	Bemcentinib| BGB-324|BGB324|R428
fedratinib	small molecule	16722836	CTRPV2	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB12500	tg-101348|inrebic
Glesatinib	small molecule	24901704	CTRPV2	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	investigational	DB06302	Glesatinib| MG-90265|MG-90265X|MG90265|MG90265X|MGCD-265|MGCD265
momelotinib	small molecule	25062766	CTRPV2	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	investigational	DB11763	Momelotinib|CYT-387|CYT387
tamatinib	small molecule	11213558	CTRPV2	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	experimental	DB07159	
tandutinib	small molecule	3038522	CTRPV2	Targeted Therapy	tyrosine kinase inhibitor, FLT3 inhibitor,potent and selective	kinase inhibitor	investigational	DB05465	
neratinib	small molecule	9915743	CTRPV2	Targeted Therapy	tyrosine kinase inhibitor, HER2/EGFR inhibitor,potent and irreversible	kinase inhibitor	approved	DB11828	HKI-272
lenvatinib	small molecule	9823820	CTRPV2	Targeted Therapy	tyrosine kinase inhibitor, multitargeted tyrosine kinase inhibitor including VEGF, FGF and SCF receptors,oral multitargeted tyrosine kinase inhibitor including VEGF, FGF and SCF receptors that has been shown to improve the survival rate of patients with radioiodine-refractory thyroid cancer. 	kinase inhibitor	approved	DB09078	Lenvatinib|E 7080|E-7080|E7080|ER-203492-00
canertinib	small molecule	156414	CTRPV2|GDSC	Targeted Therapy	tyrosine kinase inhibitor,HER family tyrosine kinase inhibitor	kinase inhibitor	investigational	DB05424	ci-1033|Canertinib|PD-183805
as601245	small molecule	10109823	GDSC	Targeted Therapy	A c-Jun NH2-terminal protein kinase inhibitor	kinase inhibitor			
a-484954	small molecule	14998470	GDSC	Targeted Therapy	A eukaryotic elongation factor-2 (eEF-2) kinase inhibitor	kinase inhibitor			
fmk	small molecule	644243	GDSC	Targeted Therapy	a potent, highly specific and irreversible ribosomal s6 kinase (RSK) inhibitor	kinase inhibitor			
akt inhibitor viii	small molecule	135398501	GDSC	Targeted Therapy	Allosteric Akt kinase inhibitor	kinase inhibitor			
ve821	small molecule	51000408	GDSC	Targeted Therapy	ATR kinase inhibitor	kinase inhibitor			
zm447439	small molecule	9914412	GDSC	Targeted Therapy	Aurora Kinase inhibitor	kinase inhibitor			
azd1208	small molecule	58423153	GDSC	Targeted Therapy	AZD1208 is a potent, highly selective, and orally available Pim kinase inhibitor	kinase inhibitor			
lfm-a13	small molecule	54676905	GDSC	Targeted Therapy	BTK-specific tyrosine kinase inhibitor	kinase inhibitor			
kb nb 142-70	small molecule	45258277	GDSC	Targeted Therapy	Inhibitor of protein kinase D,selective	kinase inhibitor			
whi-p97	small molecule	3796	GDSC	Targeted Therapy	Janus kinase (JAK)-3 inhibitor	kinase inhibitor			
ribociclib	small molecule	44631912	GDSC	Targeted Therapy	kinase inhibitor	kinase inhibitor	approved	DB11730	Ribociclib|LEE-011|LEE-011A|LEE011|LEE011A
seliciclib	small molecule	160355	GDSC	Targeted Therapy	kinase inhibitor, CDK inhibitor,potent and selective	kinase inhibitor	investigational	DB06195	R-roscovitine|Seliciclib|AL-39256|CYC-202|CYC202|NSC-701554
a-83-01	small molecule	16218924	GDSC	Targeted Therapy	potent inhibitor of TGF-β type I receptor ALK5 kinase	kinase inhibitor			
sl0101	small molecule	10459196	GDSC	Targeted Therapy	ribosomal S6 kinase inhibitor	kinase inhibitor			
cmk	small molecule	16663089	GDSC	Targeted Therapy	RSK2 kinase inhibitor	kinase inhibitor			
(5z)-7-oxozeaenol	small molecule	9863776	GDSC	Targeted Therapy	TAK1 mitogen-activated protein kinase kinase kinase (MAPKKK) inhibitor	kinase inhibitor			
alectinib	small molecule	49806720	GDSC	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB11363	alecensa|alecensaro
entospletinib	small molecule	59473233	GDSC	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	investigational	DB12121	Entospletinib|GS 9973|GS-9973|GS9973
mirdametinib	small molecule	9826528	GDSC	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	investigational	DB07101	pd0325901
osimertinib	small molecule	71496458	GDSC	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB09330	tagrisso
amuvatinib	small molecule	11282283	GDSC	Targeted Therapy	tyrosine kinase inhibitor,	kinase inhibitor			
pelitinib	small molecule	6445562	GDSC	Targeted Therapy	tyrosine kinase inhibitor, a potent, and irreversible inhibitor of epidermal growth factor receptor (EGF-R) tyrosine kinase that inhibits the activity of EGF-R	kinase inhibitor			
lestaurtinib	small molecule	126565	GDSC	Targeted Therapy	tyrosine kinase inhibitor, JAK2/FLT3/TrkA inhibitor	kinase inhibitor	investigational	DB06469	Lestaurtinib|A-154475|A-154475.0|CEP-701|KT-555|KT-5555|KT5555|SP-924|SP924|SPM-924
refametinib	small molecule	44182295	GDSC	Targeted Therapy	tyrosine kinase inhibitor, MEK 1/ MEK 2 inhibitor	kinase inhibitor			
ulixertinib	small molecule	11719003	GDSC	Targeted Therapy	tyrosine kinase inhibitor, reversible ERK1/2 inhibitor	kinase inhibitor	investigational	DB13930	bvd-523|bvd-erk
ponatinib	small molecule	24826799	GDSC	Targeted Therapy	tyrosine kinase inhibitor,A pan-BCR-ABL inhibitor,multi-kinase inhibitor	kinase inhibitor	approved	DB08901	Ponatini|Ponatinibum|AP 24534|AP-24534|AP24534
sapitinib	small molecule	11488320	GDSC	Targeted Therapy	tyrosine kinase inhibitor,ErbB inhibitor	kinase inhibitor	investigational	DB12183	Sapitinib|AZD-8931|AZD8931
dacomitinib	small molecule	11511120	GDSC	Targeted Therapy	tyrosine kinase inhibitor,HER inhibitor	kinase inhibitor	approved	DB11963	vizimpro|pf-00299804
savolitinib	small molecule	68289010	GDSC	Targeted Therapy	tyrosine kinase inhibitor,highly potent and selective c-Met inhibitor with an IC50 of 5 nM.	kinase inhibitor	investigational	DB12048	Volitinib|AZD6094|HMPL-504
ly2109761	small molecule	11655119	GDSC	Targeted Therapy	TβRI/II kinase inhibitor	kinase inhibitor			
wee1 inhibitor	small molecule	10384072	GDSC	Targeted Therapy	Wee1 kinase inhibito	kinase inhibitor			
ku-60019	small molecule	15953870	GDSC|CTRPV2	Targeted Therapy	ATM kinase inhibitor,potent and selective	kinase inhibitor			
plx-4720	small molecule	24180719	GDSC|CTRPV2	Targeted Therapy	BRAF kinase inhibitor	kinase inhibitor	experimental	DB06999	N-[3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluorophenyl]propane-1-sulfonamide|PLX 4720|PLX-4720|PLX4720
bms-345541	small molecule	9813758	GDSC|CTRPV2	Targeted Therapy	cell permeable inhibitor of the IκB kinases IKKα and IKKβ (IC50s = 4 and 0.3 μM).	kinase inhibitor			
dinaciclib	small molecule	46926350	GDSC|CTRPV2	Targeted Therapy	kinase inhibitor	kinase inhibitor	investigational	DB12021	Dinaciclib|SCH 727965|SCH-727965
staurosporine	small molecule	44259	GDSC|CTRPV2	Immunotherapy	kinase inhibitor	kinase inhibitor	experimental	DB02010	
mk-1775	small molecule	24856436	GDSC|CTRPV2	Targeted Therapy	potent and selective small-molecule inhibitor of Wee1 kinase with an IC50 value of 5.2 nM.	kinase inhibitor	investigational	DB11740	AZD 1775|AZD-1775|AZD1775|MK 1775|MK-1775|MK1775
tozasertib	small molecule	5494449	GDSC|CTRPV2	Targeted Therapy	protein inhibitor,Aurora kinase inhibitor	kinase inhibitor			vx-680
dactolisib	small molecule	11977753	GDSC|CTRPV2	Targeted Therapy	protein inhibitor,novel therapeutic agent that targets 2 molecules in thePI3K/Akt/mTOR (phosphatidylinositol 3-kinase) pathway, PI3K and mTOR.	kinase inhibitor	investigational	DB11651	dactolisib|BEZ-235|BEZ235|nvp-bez235
crizotinib	small molecule	11626560	GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB08865	
ibrutinib	small molecule	24821094	GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB09053	Ibrutinib|CRA-032765|PC-32765|PCI 32765|PCI-32765|PCI-32765-00
quizartinib	small molecule	24889392	GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	investigational	DB12874	Quizartinib|Quizartinibum|AC 010220|AC 220|AC-010220|AC-220|AC010220|AC220
ruxolitinib	small molecule	25126798	GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,A JAK inhibitor	kinase inhibitor	approved	DB08877	
bosutinib	small molecule	5328940	GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,A potent inhibitor of Src and Abl kinases	kinase inhibitor	approved	DB06616	
tucatinib	small molecule	51039094	GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,An inhibitor of HER2	kinase inhibitor	approved	DB11652	tukysa
nilotinib	small molecule	644241	GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,Bcr-Abl kinase inhibitor,selective	kinase inhibitor		DB04868	
linsitinib	small molecule	11640390	GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,IGF1R/IR inhibitor,potent and novel	kinase inhibitor	investigational	DB06075	Linsitinib|ASP-7487|OSI-906|OSI-906AA
afatinib	small molecule	10184653	GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,Irreversible EGFR/HER2 inhibitor	kinase inhibitor	approved	DB08916	afatinib dimaleate
masitinib	small molecule	10074640	GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,potent and active	kinase inhibitor	vet approved	DB11526	Masitinib|AB 1010|AB-1010|AB1010
saracatinib	small molecule	10302451	GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,Src/Abl inhibitor,potent and selective	kinase inhibitor	investigational	DB11805	Saracatinib|AZD-0530|AZD0530
foretinib	small molecule	42642645	GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,VEGF and HGF receptor inhibitor	kinase inhibitor	investigational	DB12307	Foretinib|EXEL-2880|GSK-089|GSK-1363089|GSK-1363089G|GSK089|GSK1363089|GSK1363089G|XL 880|XL-880|XL880
everolimus	small molecule	6442177	TCGA	Immunotherapy	orally active derivative of rapamycin that inhibits the Ser/Thr kinase, mTOR (mammalian target of rapamycin).	kinase inhibitor	approved	DB01590	afinitor|votubia|zortress
gleevec	small molecule	123596	TCGA	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB00619	Imatinib|Imatinibum|CGP-57148B
mirdametinib	small molecule	9826528	TCGA	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	investigational	DB07101	pd0325901
ralimetinib	small molecule	11539025	TCGA	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor		DB11787	
vemurafenib	small molecule	42611257	TCGA|CTRPV2	Targeted Therapy	protein inhibitor,A BRAF kinase inhibitor	kinase inhibitor	approved	DB08881	Vemurafenib|Vémurafénib|Vemurafenibum|PLX-4032|PLX4032|RG-7204|RG7204|RO-51-85426|RO-5185426|RO5185426
mitoxantrone	small molecule	51082	TCGA|GDSC	Chemotherapy	a topoisomerase II inhibitor; also inhibits protein kinase C (PKC) activit	kinase inhibitor	approved	DB01204	mitoxantrone hydrochloride|70476-82-3|Mitoxantrone dihydrochloride|Mitoxantrone HCl|Novantrone|Novantron|Mitoxantrone 2HCl|Mitoxantrone (dihydrochloride)|Mitozantrone|MITOXANTHRONE HYDROCHLORIDE|CL-232315|mitozantrone dihydrochloride|UNII-U6USW86RD0|DHAD|1,4-Dihydroxy-5,8-bis((2-((2-hydroxyethyl)amino)ethyl)amino)anthracene-9,10-dione dihydrochloride|NSC-301739|U6USW86RD0|CL 232,315|CHEBI:50727|1,4-dihydroxy-5,8-bis-[2-(2-hydroxyethylamino)ethylamino]anthraquinone 2hcl|MFCD00242943|1,4-dihydroxy-5,8-bis[2-(2-hydroxyethylamino)ethylamino]anthracene-9,10-dione;dihydrochloride|Immunex|70476-82-3 (HCl)|DSSTox_CID_25173|DSSTox_RID_80722|DSSTox_GSID_45173|Bisantrone|1,4-Dihydroxy-5,8-bis[[2-[(2-hydroxyethyl)amino]ethyl]amino]-9,10-anthracenedione dihydrochloride|CCRIS 2592|HSDB 6543|NCGC00015693-02|Mitozantrone hydrochloride|EINECS 274-619-1|CAS-70476-82-3|NSC 301739|Onkotrone|Ralenova|Eslep|C22H30Cl2N4O6|CL 232315|Mitoxantron HCl|SR-01000076001|mitoxanthrone hcl|Mitoxantrone Dihcl|Novantron (TN)|1,4-dihydroxy-5,8-bis({2-[(2-hydroxyethyl)amino]ethyl}amino)anthracene-9,10-dione dihydrochloride|Prestwick_571|1,4-dihydroxy-5,8-bis[2-(2-hydroxyethylamino)ethylamino]anthracene-9,10-dione hydrochloride|Mitoxantrone hydrochloride [USAN:USP:JAN]|SCHEMBL3928|1,4-Dihydroxy-5,8-bis((2-((2-hydroxyethyl)amino)ethyl)amino)anthraquinone dihydrochloride|SPECTRUM1503278|MITOXANTRONEHYDROCHLORIDE|CHEMBL1417019|DTXSID0045173|HMS1569M11|HMS1922O21|BCP23424|dhaq dihydrochloride 65271-80-9|Tox21_110197|Tox21_500779|CCG-39938|HY-13502A|s2485|Mitoxantrone hydrochloride (JAN/USP)|AKOS015895228|Tox21_110197_1|AC-1591|BCP9000932|LP00779|1,4-Dihydroxy-5,8-bis-[2-(2-hydroxyethylamino)ethylamino]anthraquinone dihydrochloride|NCGC00015693-09|NCGC00094116-01|NCGC00094116-02|NCGC00094116-03|NCGC00094116-04|NCGC00261464-01|9,10-Anthracenedione, 1,4-dihydroxy-5,8-bis((2-((2-hydroxyethyl)amino)ethyl)amino)-, dihydrochloride|AS-13162|H492|BCP0726000265|DB-055419|EU-0100779|SW196745-5|Mitoxantrone dihydrochloride, >=97% (HPLC)|D02166|M 6545|271M809|SR-01000076001-1|SR-01000076001-8|W-104553|Q27122209|Z2569867923|Mitoxantrone dihydrochloride pound>>Mitozantrone dihydrochloride|Mitoxantrone hydrochloride, European Pharmacopoeia (EP) Reference Standard|1,4-dihydroxy-5,8-bis-[[2-(2-hydroxyethylamino)ethyl]amino]-anthraquinone dihydrochloride|1,4-Dihydroxy-5,8-bis-[2-(2-hydroxy-ethylamino)-ethylamino]-anthraquinone dihydrochloride|1,4-dihydroxy-5,8-bis-[2-(2-hydroxyethylamino)ethylamino]anthraquinonedihydrochloride|1,4-dihydroxy-5,8-bis[[2-(2-hydroxyethylamino)ethyl]amino]anthraquinone dihydrochloride|Mitoxantrone hydrochloride, United States Pharmacopeia (USP) Reference Standard|1,4-dihydroxy-5,8-bis({2-[(2-hydroxyethyl)amino]ethyl}amino)-9,10-dihydroanthracene-9,10-dione dihydrochloride|1,4-dihydroxy-5,8-bis(2-(2-hydroxyethylamino)ethylamino)anthracene-9,10-dione dihydrochloride
palbociclib	small molecule	5330286	TCGA|GDSC	Targeted Therapy	kinase inhibitor	kinase inhibitor	approved	DB09073	pd 0332991
vismodegib	small molecule	24776445	TCGA|GDSC	Targeted Therapy	protein inhibitor,Aurora A Kinase inhibitor, Potent and selective	kinase inhibitor	approved	DB08828	gdc-0449|vismodegib
alisertib	small molecule	24771867	TCGA|GDSC|CTRPV2	Targeted Therapy	protein inhibitor,Aurora A Kinase inhibitor, Potent and selective	kinase inhibitor	investigational	DB05220	mln8237
sorafenib	small molecule	216239	TCGA|GDSC|CTRPV2	Targeted Therapy	protein inhibitor,Raf kinases and tyrosine kinases inhibitor	kinase inhibitor	approved	DB00398	nexavar|naxavar|sarafenib|sorafenib tosylate
